id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
421,9725,4615,2,2023-07-07 16:03:53 UTC,2023-07-07 16:03:53 UTC,,
422,9726,4621,1,2023-07-07 17:38:36 UTC,2023-07-07 17:38:36 UTC,,
425,9728,4623,1,2023-07-07 19:01:11 UTC,2023-07-07 19:01:11 UTC,,
432,9729,4624,1,2023-07-08 05:01:19 UTC,2023-07-08 05:01:19 UTC,,
434,9730,4625,1,2023-07-08 07:22:21 UTC,2023-07-08 07:22:21 UTC,,
439,9734,4627,1,2023-07-08 11:03:35 UTC,2023-07-08 11:03:35 UTC,,
440,9735,4628,1,2023-07-08 11:03:53 UTC,2023-07-08 11:03:53 UTC,,
441,9736,4629,1,2023-07-08 13:07:40 UTC,2023-07-08 13:07:40 UTC,,
453,9738,4629,2,2023-07-09 09:48:04 UTC,2023-07-09 09:48:04 UTC,,
461,9760,4640,1,2023-07-09 14:48:02 UTC,2023-07-09 14:48:02 UTC,,
462,9739,4631,1,2023-07-09 14:48:22 UTC,2023-07-09 14:48:22 UTC,2024-02-07 16:56:43 UTC,other
557,9858,4666,2,2023-07-14 04:14:33 UTC,2023-07-14 04:14:33 UTC,,
596,9871,4680,1,2023-07-15 07:44:00 UTC,2023-07-15 07:44:00 UTC,,
629,9923,3392,7,2023-07-17 06:41:26 UTC,2023-07-17 06:41:26 UTC,,
630,9918,4691,1,2023-07-17 06:47:34 UTC,2023-07-17 06:47:34 UTC,,
631,9916,4690,1,2023-07-17 06:47:48 UTC,2023-07-17 06:47:48 UTC,,
639,9934,4697,1,2023-07-17 19:20:38 UTC,2023-07-17 19:20:38 UTC,,
640,3159,3154,1,2023-07-18 04:10:50 UTC,2023-07-18 04:10:50 UTC,,
641,9936,4698,1,2023-07-18 04:13:19 UTC,2023-07-18 04:13:19 UTC,,
644,9947,4705,1,2023-07-18 16:18:35 UTC,2023-07-18 16:18:35 UTC,,
645,9944,4702,1,2023-07-18 16:20:48 UTC,2023-07-18 16:20:48 UTC,,
667,9962,4711,1,2023-07-20 05:35:39 UTC,2023-07-20 05:35:39 UTC,,
680,9969,4714,1,2023-07-20 15:26:14 UTC,2023-07-20 15:26:14 UTC,,
688,9987,4720,1,2023-07-21 05:49:05 UTC,2023-07-21 05:49:06 UTC,,
709,9997,4728,1,2023-07-22 10:06:31 UTC,2023-07-22 10:06:31 UTC,,
718,10045,4710,7,2023-07-22 19:26:46 UTC,2023-07-22 19:26:46 UTC,,
731,10065,4744,1,2023-07-23 19:07:05 UTC,2023-07-23 19:07:05 UTC,,
746,10091,4750,1,2023-07-24 10:47:03 UTC,2023-07-24 10:47:03 UTC,,
757,10106,4757,1,2023-07-24 17:25:48 UTC,2023-07-24 17:25:48 UTC,,
779,10138,4773,1,2023-07-26 15:59:40 UTC,2023-07-26 15:59:40 UTC,,
782,10140,4774,1,2023-07-26 19:31:24 UTC,2023-07-26 19:31:24 UTC,,
795,10147,4778,1,2023-07-28 05:56:55 UTC,2023-07-28 05:56:55 UTC,,
796,10155,4784,1,2023-07-28 05:57:43 UTC,2023-07-28 05:57:43 UTC,,
797,10149,4780,1,2023-07-28 06:03:04 UTC,2023-07-28 06:03:04 UTC,,
801,10156,4785,1,2023-07-28 09:30:29 UTC,2023-07-28 09:30:29 UTC,,
809,10170,4790,1,2023-07-28 13:08:52 UTC,2023-07-28 13:08:52 UTC,,
813,10171,4791,1,2023-07-28 16:29:23 UTC,2023-07-28 16:29:23 UTC,,
814,10168,4789,1,2023-07-28 17:08:19 UTC,2023-07-28 17:08:19 UTC,,
821,10179,4796,1,2023-07-29 11:11:19 UTC,2023-07-29 11:11:19 UTC,,
825,10197,4798,2,2023-07-29 19:01:32 UTC,2023-07-29 19:01:32 UTC,,
834,10173,4793,1,2023-07-30 05:17:27 UTC,2023-07-30 05:17:27 UTC,,
840,10200,4800,1,2023-07-30 10:49:38 UTC,2023-07-30 10:49:38 UTC,,
