visited_at,posts_read,mobile,time_read
2024-02-03,30,true,2238
2024-02-04,9,true,3652
2024-02-05,16,true,2636
2024-02-06,21,true,2873
2024-02-07,7,true,2927
2024-02-08,12,true,962
2024-02-09,10,true,714
2024-02-10,26,true,2020
2024-02-11,4,true,661
2024-02-12,36,true,1741
2024-02-13,13,true,1562
2024-02-14,13,true,7142
2024-02-15,10,true,1476
2024-02-16,17,true,1188
2024-02-17,24,true,1188
2024-02-18,10,true,1801
2024-02-19,8,true,400
2024-02-20,7,true,556
2024-02-21,15,true,1706
2024-02-22,9,true,1896
2024-02-23,9,true,2255
2024-02-24,16,true,4871
2024-02-25,33,true,6909
2024-02-26,16,true,2462
2024-02-27,4,true,2492
2024-02-28,15,true,3260
2024-02-29,1,false,2689
2024-03-01,1,true,2063
2024-03-02,5,true,1677
2024-03-03,7,true,3904
2024-03-04,8,true,2299
2024-03-05,4,true,2114
2024-03-06,0,false,355
2024-03-07,1,false,325
2024-03-08,2,true,407
2024-03-09,0,false,0
2024-03-10,2,true,4367
2024-03-11,0,false,1533
2024-03-12,1,true,1098
2024-03-13,0,false,531
2024-03-14,1,true,130
2024-03-15,4,true,5928
2024-03-16,8,true,2114
2024-03-17,5,true,3495
2024-03-18,2,true,814
2024-03-19,3,true,2301
2024-03-20,3,true,3037
2024-03-21,5,true,2703
2024-03-22,3,true,667
2024-03-23,1,true,704
2024-03-24,10,true,1991
2024-03-25,5,false,3273
2024-03-26,5,true,832
2024-03-27,1,true,619
2024-03-28,6,true,2091
2024-03-29,4,true,2471
2024-03-30,2,true,971
2024-03-31,4,true,963
2024-04-01,3,true,576
2024-04-02,4,false,2021
2024-04-03,6,true,414
2024-04-04,5,true,746
2024-04-05,6,true,1994
2024-04-06,1,true,531
2024-04-07,7,true,1856
2024-04-08,7,true,1757
2024-04-09,4,true,548
2024-04-10,1,true,220
2024-04-11,4,true,579
2024-04-12,4,true,455
2024-04-13,4,true,2034
2024-04-14,3,true,1580
2024-04-15,6,true,2079
2024-04-16,2,true,335
2024-04-17,9,true,982
2024-04-18,8,true,1680
2024-04-19,3,true,1590
2024-04-20,1,true,676
2024-04-21,0,false,326
2024-04-22,8,true,594
2024-04-23,3,true,3592
2024-04-24,6,true,1721
2024-04-25,12,true,837
2024-04-26,3,true,3216
2024-04-27,4,true,614
2024-04-28,9,true,1749
2024-04-29,6,true,1853
2024-04-30,5,true,2479
